"filename", "language", "JSON", "HTML", "JavaScript", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "Markdown", "XML", "Properties", "comment", "blank", "total"
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\.eslintrc.cjs", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 9, 31
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\index.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\package.json", "JSON", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 5, 53
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\components\BookingForm\BookingForm.css", "CSS", 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 24, 26, 200
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\components\BookingForm\BookingForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 2, 26, 228
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\components\Dashboard\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 8, 50
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\components\Landing\Landing.css", "CSS", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 6, 19, 135
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\components\Landing\Landing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 3, 80
"c:\Users\ayush\Documents\VS Code Files\SE Project (MERN)\RailwayReservationSystem\src\components\Login\Login.css", "CSS", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 3, 20, 132
